ISO;Score;Rank;Country_FR;Year (N);Rank N-1;Rank evolution;Score N-1;Score evolution
NOR;95,18;1;Norvège;2023;1;0;92,65;2,53
IRL;89,91;2;Irlande;2023;6;4;88,3;1,61
DNK;89,48;3;Danemark;2023;2;-1;90,27;-0,79
SWE;88,15;4;Suède;2023;3;-1;88,84;-0,69
FIN;87,94;5;Finlande;2023;5;0;88,42;-0,48
NLD;87;6;Pays-Bas;2023;28;22;77,93;9,07
LTU;86,79;7;Lituanie;2023;9;2;84,14;2,65
EST;85,31;8;Estonie;2023;4;-4;88,83;-3,52
PRT;84,6;9;Portugal;2023;7;-2;87,07;-2,47
TLS;84,49;10;Timor oriental;2023;17;7;81,89;2,6
LIE;84,47;11;Liechtenstein;2023;10;-1;84,03;0,44
CHE;84,4;12;Suisse;2023;14;2;82,72;1,68
NZL;84,23;13;Nouvelle-Zélande;2023;11;-2;83,54;0,69
CZE;83,58;14;Tchéquie;2023;20;6;80,54;3,04
CAN;83,53;15;Canada;2023;19;4;81,74;1,79
LVA;83,27;16;Lettonie;2023;22;6;79,17;4,1
SVK;83,22;17;Slovaquie;2023;27;10;78,37;4,85
ISL;83,19;18;Islande;2023;15;-3;82,69;0,5
WSM;82,15;19;Samoa;2023;45;26;71,39;10,76
LUX;81,98;20;Luxembourg;2023;21;1;79,81;2,17
DEU;81,91;21;Allemagne;2023;16;-5;82,04;-0,13
NAM;80,91;22;Namibie;2023;18;-4;81,84;-0,93
CRI;80,2;23;Costa Rica;2023;8;-15;85,92;-5,72
FRA;78,72;24;France;2023;26;2;78,53;0,19
ZAF;78,6;25;Afrique du Sud;2023;35;10;75,56;3,04
GBR;78,51;26;Royaume-Uni;2023;24;-2;78,71;-0,2
AUS;78,24;27;Australie;2023;39;12;73,77;4,47
MDA;77,62;28;Moldavie;2023;40;12;73,47;4,15
AUT;77,3;29;Autriche;2023;31;2;76,74;0,56
TTO;76,54;30;Trinité-et-Tobago;2023;25;-5;78,68;-2,14
BEL;76,47;31;Belgique;2023;23;-8;78,86;-2,39
JAM;75,89;32;Jamaïque;2023;12;-20;83,35;-7,46
CPV;75,72;33;Cap-Vert;2023;36;3;75,37;0,35
SYC;75,71;34;Seychelles;2023;13;-21;83,33;-7,62
TWN;75,54;35;Taïwan;2023;38;3;74,08;1,46
ESP;75,37;36;Espagne;2023;32;-4;76,71;-1,34
AND;75,05;37;Andorre;2023;53;16;68,79;6,26
MKD;74,35;38;Macédoine;2023;57;19;68,44;5,91
MNE;74,28;39;Monténégro;2023;63;24;66,54;7,74
ARG;73,36;40;Argentine;2023;29;-11;77,28;-3,92
ITA;72,05;41;Italie;2023;58;17;68,16;3,89
HRV;71,95;42;Croatie;2023;48;6;70,42;1,53
DOM;71,88;43;République dominicaine;2023;30;-13;76,9;-5,02
TON;71,29;44;Tonga;2023;49;5;69,74;1,55
USA;71,22;45;États-Unis;2023;42;-3;72,74;-1,52
GMB;71,06;46;Gambie;2023;50;4;69,25;1,81
KOR;70,83;47;Corée du Sud;2023;43;-4;72,11;-1,28
